training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xBR,US-xBR,0.82,0.82,DBF,Cold,DBF,Cold
US-xBR,US-xDC,0.7,0.8,DBF,Cold,GRA,Cold
US-xBR,US-xDJ,-0.11,0.36,DBF,Cold,ENF,Cold
US-xBR,US-xDL,-0.75,0.57,DBF,Cold,MF,Temperate
US-xBR,US-xDS,-19.39,0.16,DBF,Cold,CVM,Temperate
US-xBR,US-xHA,0.55,0.74,DBF,Cold,DBF,Cold
US-xBR,US-xKZ,-0.34,0.72,DBF,Cold,GRA,Cold
US-xBR,US-xML,0.43,0.63,DBF,Cold,DBF,Cold
US-xBR,US-xNG,-0.08,0.71,DBF,Cold,GRA,Cold
US-xBR,US-xRM,0.49,0.69,DBF,Cold,ENF,Cold
US-xBR,US-xSB,-5.12,0.31,DBF,Cold,ENF,Temperate
US-xBR,US-xSC,-0.47,0.69,DBF,Cold,DBF,Cold
US-xBR,US-xSE,0.13,0.74,DBF,Cold,DBF,Temperate
US-xBR,US-xSL,-23.17,0.64,DBF,Cold,CRO,Arid
US-xBR,US-xST,0.65,0.87,DBF,Cold,DBF,Cold
US-xBR,US-xTL,-2.91,0.61,DBF,Cold,WET,Cold
US-xBR,US-xTR,0.69,0.76,DBF,Cold,DBF,Cold
US-xBR,US-xUK,0.56,0.74,DBF,Cold,DBF,Cold
US-xBR,US-xUN,0.32,0.71,DBF,Cold,MF,Cold
US-xBR,US-xWD,-0.15,0.68,DBF,Cold,GRA,Cold
US-xBR,US-xWR,0.3,0.38,DBF,Cold,ENF,Cold
US-xDC,US-xBR,0.57,0.66,GRA,Cold,DBF,Cold
US-xDC,US-xDC,0.89,0.89,GRA,Cold,GRA,Cold
US-xDC,US-xDJ,0.38,0.41,GRA,Cold,ENF,Cold
US-xDC,US-xDL,0.1,0.53,GRA,Cold,MF,Temperate
US-xDC,US-xDS,-9.76,0.05,GRA,Cold,CVM,Temperate
US-xDC,US-xHA,0.73,0.75,GRA,Cold,DBF,Cold
US-xDC,US-xKZ,0.49,0.71,GRA,Cold,GRA,Cold
US-xDC,US-xML,0.64,0.67,GRA,Cold,DBF,Cold
US-xDC,US-xNG,0.67,0.79,GRA,Cold,GRA,Cold
US-xDC,US-xRM,0.4,0.66,GRA,Cold,ENF,Cold
US-xDC,US-xSB,-0.88,0.13,GRA,Cold,ENF,Temperate
US-xDC,US-xSC,0.35,0.7,GRA,Cold,DBF,Cold
US-xDC,US-xSE,0.52,0.71,GRA,Cold,DBF,Temperate
US-xDC,US-xSL,-6.57,0.68,GRA,Cold,CRO,Arid
US-xDC,US-xST,0.85,0.88,GRA,Cold,DBF,Cold
US-xDC,US-xTL,0.41,0.61,GRA,Cold,WET,Cold
US-xDC,US-xTR,0.77,0.77,GRA,Cold,DBF,Cold
US-xDC,US-xUK,0.75,0.76,GRA,Cold,DBF,Cold
US-xDC,US-xUN,0.73,0.73,GRA,Cold,MF,Cold
US-xDC,US-xWD,0.53,0.73,GRA,Cold,GRA,Cold
US-xDC,US-xWR,0.15,0.39,GRA,Cold,ENF,Cold
US-xDJ,US-xBR,0.56,0.7,ENF,Cold,DBF,Cold
US-xDJ,US-xDC,0.7,0.77,ENF,Cold,GRA,Cold
US-xDJ,US-xDJ,0.92,0.92,ENF,Cold,ENF,Cold
US-xDJ,US-xDL,0.45,0.56,ENF,Cold,MF,Temperate
US-xDJ,US-xDS,-0.92,0.38,ENF,Cold,CVM,Temperate
US-xDJ,US-xHA,0.61,0.74,ENF,Cold,DBF,Cold
US-xDJ,US-xKZ,0.6,0.65,ENF,Cold,GRA,Cold
US-xDJ,US-xML,0.51,0.62,ENF,Cold,DBF,Cold
US-xDJ,US-xNG,0.72,0.74,ENF,Cold,GRA,Cold
US-xDJ,US-xRM,0.68,0.81,ENF,Cold,ENF,Cold
US-xDJ,US-xSB,0.46,0.57,ENF,Cold,ENF,Temperate
US-xDJ,US-xSC,0.4,0.53,ENF,Cold,DBF,Cold
US-xDJ,US-xSE,0.51,0.59,ENF,Cold,DBF,Temperate
US-xDJ,US-xSL,-2.62,0.63,ENF,Cold,CRO,Arid
US-xDJ,US-xST,0.81,0.86,ENF,Cold,DBF,Cold
US-xDJ,US-xTL,0.39,0.62,ENF,Cold,WET,Cold
US-xDJ,US-xTR,0.62,0.73,ENF,Cold,DBF,Cold
US-xDJ,US-xUK,0.56,0.75,ENF,Cold,DBF,Cold
US-xDJ,US-xUN,0.82,0.86,ENF,Cold,MF,Cold
US-xDJ,US-xWD,0.7,0.71,ENF,Cold,GRA,Cold
US-xDJ,US-xWR,0.14,0.62,ENF,Cold,ENF,Cold
US-xDL,US-xBR,0.16,0.65,MF,Temperate,DBF,Cold
US-xDL,US-xDC,0.6,0.67,MF,Temperate,GRA,Cold
US-xDL,US-xDJ,0.45,0.64,MF,Temperate,ENF,Cold
US-xDL,US-xDL,0.88,0.88,MF,Temperate,MF,Temperate
US-xDL,US-xDS,-4.51,0.57,MF,Temperate,CVM,Temperate
US-xDL,US-xHA,0.42,0.7,MF,Temperate,DBF,Cold
US-xDL,US-xKZ,0.79,0.82,MF,Temperate,GRA,Cold
