training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xAE,US-xTA,-1.55,0.33,GRA,Temperate,ENF,Temperate
US-xAE,US-xTL,-7.17,0.0,GRA,Temperate,WET,Cold
US-xAE,US-xTR,-0.54,0.55,GRA,Temperate,DBF,Cold
US-xAE,US-xUK,-0.6,0.53,GRA,Temperate,DBF,Cold
US-xAE,US-xUN,-0.68,0.58,GRA,Temperate,MF,Cold
US-xAE,US-xWD,-0.54,0.47,GRA,Temperate,GRA,Cold
US-xAE,US-xWR,-2.17,0.16,GRA,Temperate,ENF,Cold
US-xAE,US-xYE,-1.26,0.56,GRA,Temperate,ENF,Cold
US-xBL,US-xAB,0.37,0.61,DBF,Cold,ENF,Temperate
US-xBL,US-xAE,-14.59,0.42,DBF,Cold,GRA,Temperate
US-xBL,US-xBL,0.83,0.83,DBF,Cold,DBF,Cold
US-xBL,US-xBN,-0.45,0.34,DBF,Cold,ENF,Cold
US-xBL,US-xBR,0.63,0.69,DBF,Cold,DBF,Cold
US-xBL,US-xCL,-2.7,0.31,DBF,Cold,GRA,Temperate
US-xBL,US-xCP,-14.36,0.3,DBF,Cold,GRA,Arid
US-xBL,US-xDC,0.71,0.72,DBF,Cold,GRA,Cold
US-xBL,US-xDJ,0.48,0.66,DBF,Cold,ENF,Cold
US-xBL,US-xDL,0.53,0.76,DBF,Cold,MF,Temperate
US-xBL,US-xDS,-6.63,0.57,DBF,Cold,CVM,Temperate
US-xBL,US-xGR,0.34,0.61,DBF,Cold,DBF,Temperate
US-xBL,US-xHA,-7.3,0.0,DBF,Cold,DBF,Cold
US-xBL,US-xHE,-1.46,0.29,DBF,Cold,OSH,Cold
US-xBL,US-xJE,0.5,0.66,DBF,Cold,ENF,Temperate
US-xBL,US-xJR,-2437.62,0.0,DBF,Cold,OSH,Arid
US-xBL,US-xKA,-1.24,0.6,DBF,Cold,GRA,Cold
US-xBL,US-xKZ,0.48,0.74,DBF,Cold,GRA,Cold
US-xBL,US-xMB,-182.52,0.26,DBF,Cold,OSH,Arid
US-xBL,US-xML,0.62,0.65,DBF,Cold,DBF,Cold
US-xBL,US-xNG,0.41,0.62,DBF,Cold,GRA,Cold
US-xBL,US-xNQ,-63.19,0.22,DBF,Cold,OSH,Arid
US-xBL,US-xNW,-0.74,0.41,DBF,Cold,ENF,Cold
US-xBL,US-xRM,0.52,0.63,DBF,Cold,ENF,Cold
US-xBL,US-xRN,0.27,0.41,DBF,Cold,DBF,Temperate
US-xBL,US-xSB,-1.83,0.74,DBF,Cold,ENF,Temperate
US-xBL,US-xSC,0.59,0.65,DBF,Cold,DBF,Cold
US-xBL,US-xSE,0.6,0.62,DBF,Cold,DBF,Temperate
US-xBL,US-xSJ,-4.36,0.09,DBF,Cold,SAV,Temperate
US-xBL,US-xSL,-18.39,0.62,DBF,Cold,CRO,Arid
US-xBL,US-xSR,-65.44,0.21,DBF,Cold,OSH,Arid
US-xBL,US-xST,0.88,0.89,DBF,Cold,DBF,Cold
US-xBL,US-xTA,0.54,0.55,DBF,Cold,ENF,Temperate
US-xBL,US-xTL,-0.93,0.59,DBF,Cold,WET,Cold
US-xBL,US-xTR,0.65,0.72,DBF,Cold,DBF,Cold
US-xBL,US-xUK,0.8,0.83,DBF,Cold,DBF,Cold
US-xBL,US-xUN,0.81,0.83,DBF,Cold,MF,Cold
US-xBL,US-xWD,0.32,0.59,DBF,Cold,GRA,Cold
US-xBL,US-xWR,-0.18,0.62,DBF,Cold,ENF,Cold
US-xBL,US-xYE,0.54,0.63,DBF,Cold,ENF,Cold
US-xBN,US-xAB,-1.1,0.16,ENF,Cold,ENF,Temperate
US-xBN,US-xAE,-0.86,0.05,ENF,Cold,GRA,Temperate
US-xBN,US-xBL,-1.52,0.18,ENF,Cold,DBF,Cold
US-xBN,US-xBN,0.73,0.73,ENF,Cold,ENF,Cold
US-xBN,US-xBR,-0.29,0.25,ENF,Cold,DBF,Cold
US-xBN,US-xCL,-1.46,0.03,ENF,Cold,GRA,Temperate
US-xBN,US-xCP,-2.51,0.01,ENF,Cold,GRA,Arid
US-xBN,US-xDC,-0.39,0.17,ENF,Cold,GRA,Cold
