training_site,US-xAB,US-xAE,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xNW,US-xRM,US-xRN,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR,US-xYE
US-xSL,0.28,0.46,0.52,0.39,0.48,0.55,0.54,0.71,0.43,0.53,0.33,0.63,0.15,0.35,0.47,0.0,0.52,0.63,0.23,0.5,0.67,0.25,0.3,0.3,0.39,0.52,0.61,0.68,0.13,0.88,0.31,0.85,0.44,0.32,0.59,0.7,0.78,0.49,0.33,0.51
US-xSR,0.43,0.47,0.61,0.25,0.53,0.37,0.18,0.58,0.61,0.77,0.68,0.64,0.13,0.26,0.69,0.05,0.63,0.74,0.38,0.57,0.48,0.32,0.27,0.6,0.35,0.68,0.55,0.61,0.06,0.56,0.77,0.72,0.57,0.35,0.54,0.75,0.62,0.5,0.54,0.39
US-xST,0.57,0.6,0.68,0.45,0.75,0.61,0.42,0.82,0.74,0.44,0.23,0.63,0.11,0.51,0.35,0.0,0.58,0.63,0.24,0.75,0.65,0.2,0.51,0.6,0.4,0.39,0.66,0.63,0.06,0.61,0.21,0.97,0.43,0.7,0.77,0.75,0.89,0.64,0.58,0.7
US-xTA,0.5,0.59,0.67,0.3,0.7,0.49,0.29,0.64,0.58,0.75,0.4,0.61,0.01,0.24,0.45,0.0,0.6,0.73,0.19,0.71,0.58,0.14,0.48,0.58,0.42,0.4,0.59,0.6,0.03,0.55,0.17,0.84,0.79,0.46,0.66,0.78,0.84,0.54,0.62,0.43
US-xTL,0.55,0.38,0.61,0.43,0.68,0.35,0.26,0.67,0.72,0.47,0.16,0.46,0.37,0.55,0.29,0.01,0.46,0.47,0.22,0.67,0.59,0.16,0.63,0.66,0.27,0.25,0.53,0.46,0.1,0.45,0.1,0.81,0.33,0.95,0.65,0.6,0.82,0.58,0.56,0.56
US-xTR,0.56,0.46,0.64,0.42,0.73,0.5,0.36,0.79,0.62,0.42,0.15,0.53,0.18,0.48,0.28,0.0,0.53,0.57,0.24,0.74,0.66,0.2,0.44,0.55,0.41,0.38,0.6,0.61,0.05,0.6,0.2,0.91,0.42,0.62,0.85,0.72,0.9,0.64,0.57,0.67
US-xUK,0.48,0.57,0.73,0.4,0.65,0.55,0.44,0.79,0.65,0.86,0.4,0.71,0.02,0.33,0.56,0.0,0.64,0.82,0.34,0.69,0.72,0.25,0.44,0.67,0.43,0.44,0.66,0.7,0.1,0.62,0.31,0.89,0.59,0.5,0.72,0.94,0.78,0.65,0.49,0.53
US-xUN,0.62,0.44,0.73,0.42,0.76,0.43,0.29,0.75,0.75,0.7,0.39,0.62,0.31,0.45,0.49,0.0,0.59,0.68,0.25,0.78,0.66,0.18,0.6,0.69,0.42,0.48,0.66,0.62,0.02,0.57,0.24,0.94,0.53,0.68,0.74,0.77,0.95,0.69,0.64,0.6
US-xWD,0.54,0.49,0.67,0.42,0.69,0.44,0.36,0.76,0.71,0.73,0.35,0.67,0.13,0.38,0.55,0.0,0.65,0.76,0.37,0.79,0.7,0.27,0.38,0.77,0.44,0.32,0.61,0.6,0.02,0.63,0.33,0.91,0.49,0.52,0.7,0.81,0.83,0.82,0.48,0.63
US-xWR,0.56,0.45,0.69,0.35,0.74,0.44,0.22,0.72,0.73,0.49,0.26,0.56,0.11,0.36,0.37,0.0,0.57,0.54,0.23,0.74,0.59,0.14,0.48,0.6,0.35,0.52,0.63,0.6,0.13,0.58,0.13,0.92,0.4,0.45,0.73,0.69,0.88,0.62,0.79,0.59
US-xYE,0.51,0.53,0.46,0.44,0.6,0.49,0.51,0.79,0.6,0.0,0.03,0.52,0.17,0.45,0.05,0.0,0.41,0.44,0.19,0.57,0.72,0.35,0.41,0.64,0.25,0.07,0.62,0.57,0.04,0.57,0.09,0.92,0.12,0.69,0.69,0.55,0.8,0.55,0.47,0.91
